qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,1,0,101121,101121x2,risk,8,9,34,66,0,3,272,594,5.0,66,24/06/15,11:26,2.2
2,2,1,0,101121,101121x2,risk,9,4,46,54,0,3,414,216,0.0,53,24/06/15,11:26,2.2
3,2,1,0,101121,101121x2,risk,9,6,20,80,0,3,180,480,0.0,80,24/06/15,11:26,2.2
4,2,1,0,101121,101121x2,risk,6,0.5,94,6,0,3,564,3.0,0.0,5,24/06/15,11:26,2.2
5,2,1,0,101121,101121x2,risk,9.5,7,44,56,0,3,418.0,392,0.0,56,24/06/15,11:26,2.2
6,2,1,0,101121,101121x2,risk,1,3.5,32,68,0,3,32,238.0,0.0,68,24/06/15,11:26,2.2
7,2,1,0,101121,101121x2,risk,5,6,66,34,0,3,330,204,0.0,34,24/06/15,11:26,2.2
8,2,1,0,101121,101121x2,risk,0.5,3,52,48,0,3,26.0,144,0.0,47,24/06/15,11:26,2.2
9,2,1,0,101121,101121x2,risk,4,1,78,22,0,3,312,22,0.0,22,24/06/15,11:26,2.2
10,2,1,0,101121,101121x2,risk,7,9.5,22,78,0,3,154,741.0,0.0,77,24/06/15,11:26,2.2
11,2,1,0,101121,101121x2,risk,9,2,70,30,0,3,630,60,0.0,29,24/06/15,11:26,2.2
12,2,1,0,101121,101121x2,risk,8.5,8,52,48,0,3,442.0,384,0.0,47,24/06/15,11:26,2.2
13,2,1,0,101121,101121x2,risk,5,7.5,56,44,0,3,280,330.0,0.0,44,24/06/15,11:26,2.2
14,2,1,0,101121,101121x2,risk,1.5,3,10,90,0,3,15.0,270,0.0,90,24/06/15,11:26,2.2
15,2,1,0,101121,101121x2,risk,7.5,3,12,88,0,3,90.0,264,0.0,88,24/06/15,11:26,2.2
16,2,1,0,101121,101121x2,risk,7,2,34,66,3,6,238,132,0.0,66,24/06/15,11:26,2.2
17,2,1,0,101121,101121x2,risk,4,1.5,28,72,3,6,112,108.0,0.0,71,24/06/15,11:26,2.2
18,2,1,0,101121,101121x2,risk,2,1,76,24,3,6,152,24,0.0,24,24/06/15,11:26,2.2
19,2,1,0,101121,101121x2,risk,0.5,1,12,88,3,6,6.0,88,0.0,87,24/06/15,11:26,2.2
20,2,1,0,101121,101121x2,risk,9,5,64,36,3,6,576,180,0.0,35,24/06/15,11:26,2.2
21,2,1,0,101121,101121x2,risk,6,1,82,18,3,6,492,18,0.0,18,24/06/15,11:26,2.2
22,2,1,0,101121,101121x2,risk,2,0.5,34,66,3,6,68,33.0,0.0,65,24/06/15,11:26,2.2
23,2,1,0,101121,101121x2,risk,7.5,1,4,96,3,6,30.0,96,0.0,95,24/06/15,11:26,2.2
24,2,1,0,101121,101121x2,risk,1,5,64,36,3,6,64,180,0.0,35,24/06/15,11:26,2.2
25,2,1,0,101121,101121x2,risk,4,7.5,90,10,3,6,360,75.0,0.0,9,24/06/15,11:26,2.2
26,2,1,0,101121,101121x2,risk,7,4,40,60,3,6,280,240,0.0,60,24/06/15,11:26,2.2
27,2,1,0,101121,101121x2,risk,7,5.5,38,62,3,6,266,341.0,0.0,61,24/06/15,11:26,2.2
28,2,1,0,101121,101121x2,risk,7,8,52,48,3,6,364,384,0.0,47,24/06/15,11:26,2.2
29,2,1,0,101121,101121x2,risk,1,0.5,58,42,3,6,58,21.0,0.0,41,24/06/15,11:26,2.2
30,2,1,0,101121,101121x2,risk,3,0.5,34,66,3,6,102,33.0,0.0,66,24/06/15,11:26,2.2
