qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,1,0,101121,101121x2,time,1,2,26,74,3,6,26,148,1.0,74,24/06/15,11:26,2.2
2,2,1,0,101121,101121x2,time,5,9.5,16,84,3,6,80,798.0,0.0,83,24/06/15,11:26,2.2
3,2,1,0,101121,101121x2,time,3,6,94,6,3,6,282,36,0.0,6,24/06/15,11:26,2.2
4,2,1,0,101121,101121x2,time,5.5,9,10,90,3,6,55.0,810,0.0,89,24/06/15,11:26,2.2
5,2,1,0,101121,101121x2,time,1,1.5,64,36,3,6,64,54.0,0.0,36,24/06/15,11:26,2.2
6,2,1,0,101121,101121x2,time,7,9,54,46,3,6,378,414,0.0,45,24/06/15,11:26,2.2
7,2,1,0,101121,101121x2,time,8,8.5,12,88,3,6,96,748.0,0.0,87,24/06/15,11:26,2.2
8,2,1,0,101121,101121x2,time,4,8.5,24,76,3,6,96,646.0,0.0,75,24/06/15,11:26,2.2
9,2,1,0,101121,101121x2,time,2.5,8,22,78,3,6,55.0,624,0.0,78,24/06/15,11:26,2.2
10,2,1,0,101121,101121x2,time,1,4,48,52,3,6,48,208,0.0,51,24/06/15,11:26,2.2
11,2,1,0,101121,101121x2,time,4,7.5,44,56,3,6,176,420.0,0.0,56,24/06/15,11:26,2.2
12,2,1,0,101121,101121x2,time,6,8,76,24,3,6,456,192,0.0,24,24/06/15,11:26,2.2
13,2,1,0,101121,101121x2,time,2.5,5,82,18,3,6,205.0,90,0.0,17,24/06/15,11:26,2.2
14,2,1,0,101121,101121x2,time,4,6,24,76,3,6,96,456,0.0,75,24/06/15,11:26,2.2
15,2,1,0,101121,101121x2,time,5.5,8,62,38,3,6,341.0,304,0.0,37,24/06/15,11:26,2.2
16,2,1,0,101121,101121x2,time,3,3.5,84,16,3,6,252,56.0,0.0,15,24/06/15,11:26,2.2
17,2,1,0,101121,101121x2,time,0.5,2,6,94,3,6,3.0,188,0.0,93,24/06/15,11:26,2.2
18,2,1,0,101121,101121x2,time,2,4.5,80,20,3,6,160,90.0,0.0,19,24/06/15,11:26,2.2
19,2,1,0,101121,101121x2,time,7,7.5,86,14,3,6,602,105.0,0.0,14,24/06/15,11:26,2.2
20,2,1,0,101121,101121x2,time,0.5,1,62,38,3,6,31.0,38,0.0,38,24/06/15,11:26,2.2
21,2,1,0,101121,101121x2,time,2.5,8,14,86,0,3,35.0,688,0.0,85,24/06/15,11:26,2.2
22,2,1,0,101121,101121x2,time,4,6,18,82,0,3,72,492,1.0,81,24/06/15,11:26,2.2
23,2,1,0,101121,101121x2,time,1,4,22,78,0,3,22,312,0.0,77,24/06/15,11:26,2.2
24,2,1,0,101121,101121x2,time,6,8,32,68,0,3,192,544,0.0,67,24/06/15,11:26,2.2
25,2,1,0,101121,101121x2,time,2.5,5,14,86,0,3,35.0,430,0.0,86,24/06/15,11:26,2.2
26,2,1,0,101121,101121x2,time,2,4.5,68,32,0,3,136,144.0,0.0,31,24/06/15,11:26,2.2
27,2,1,0,101121,101121x2,time,5.5,8,68,32,0,3,374.0,256,0.0,32,24/06/15,11:26,2.2
28,2,1,0,101121,101121x2,time,8,8.5,74,26,0,3,592,221.0,0.0,25,24/06/15,11:26,2.2
29,2,1,0,101121,101121x2,time,5,9.5,28,72,0,3,140,684.0,0.0,71,24/06/15,11:26,2.2
30,2,1,0,101121,101121x2,time,4,8.5,38,62,0,3,152,527.0,0.0,62,24/06/15,11:26,2.2
31,2,1,0,101121,101121x2,time,4,7.5,94,6,0,3,376,45.0,0.0,5,24/06/15,11:26,2.2
32,2,1,0,101121,101121x2,time,3,6,30,70,0,3,90,420,0.0,70,24/06/15,11:26,2.2
33,2,1,0,101121,101121x2,time,7,9,48,52,0,3,336,468,0.0,51,24/06/15,11:26,2.2
34,2,1,0,101121,101121x2,time,0.5,2,18,82,0,3,9.0,164,0.0,82,24/06/15,11:26,2.2
35,2,1,0,101121,101121x2,time,7,7.5,98,2,0,3,686,15.0,0.0,2,24/06/15,11:26,2.2
36,2,1,0,101121,101121x2,time,1,1.5,54,46,0,3,54,69.0,0.0,46,24/06/15,11:26,2.2
37,2,1,0,101121,101121x2,time,3,3.5,50,50,0,3,150,175.0,0.0,50,24/06/15,11:26,2.2
38,2,1,0,101121,101121x2,time,5.5,9,78,22,0,3,429.0,198,0.0,22,24/06/15,11:26,2.2
39,2,1,0,101121,101121x2,time,0.5,1,40,60,0,3,20.0,60,0.0,59,24/06/15,11:26,2.2
40,2,1,0,101121,101121x2,time,1,2,26,74,0,3,26,148,0.0,73,24/06/15,11:26,2.2
