qlabel,tab,
"house,xfood,xdurables,xexpenditure,xtransfers in,xtransfers out,xsavings,xcredit,xgeneral,xinsurance",,
house_own,house,
house_obtain,house,
house_pay,house,
house_title,house,
house_sell,house,
house_receive,house,
house_rent,house,
consumption_food,food,
table_consumption,food,Please enter the following details
durables,durables,
table_durables,durables,
expenditure,expenditure,
table_expenditure,expenditure,Please enter the following details
donors,transfers in,
table_assistance,transfers in,Please enter the following details
institution_payment,transfers in,
table_institution,transfers in,
members_transfers,transfers out,
table_assistance_out,transfers out,Please enter the following details
cash,savings,
bonds,savings,
table_bonds,savings,Please enter the following details
current_account_members,savings,
table_current,savings,Please enter the following details
savings_account_members,savings,
table_savings,savings,Please enter the following details
informal_savings_members,savings,
table_informal,savings,
borrow_list,credit,
table_borrow,credit,Please enter the following details
lend_list,credit,
table_lend,credit,Please enter the following details
heaven,general,
hell,general,
believe_god,general,
smoke,general,
drink,general,
general_health,general,
eat,general,
eat_household,general,
income_shock,general,
income_shock_describe,general,
income_shock_cost,general,
health_shock,general,
health_shock_describe,general,
agricultural_shock,general,
agricultural_shock_describe,general,
agricultural_shock_cost,general,
risk_general,general,
risk_health,general,
risk_agricultural,general,
rains_time,general,
rains_plentiful,general,
insurance,insurance,
table_insurance,insurance,Please enter the following details
