qid,wzbid,innterviewed_check,interviewed_name,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2
1,324022,,Amma,1,5,56,44,3,6,56,220,151.0,28
2,324022,,Amma,6,7,22,78,3,6,132,546,2.0,77
3,324022,,Amma,2,3,68,32,3,6,136,96,3.0,30
4,324022,,Amma,3.5,8,64,36,3,6,224.0,288,2.0,33
5,324022,,Amma,0.5,4,44,56,3,6,22.0,224,1.0,55
6,324022,,Amma,2,6,82,18,3,6,164,108,2.0,15
7,324022,,Amma,1,2,40,60,3,6,40,120,1.0,60
8,324022,,Amma,2,7,28,72,3,6,56,504,3.0,73
9,324022,,Amma,8,8.5,58,42,3,6,464,357.0,2.0,39
10,324022,,Amma,5.5,9,24,76,3,6,132.0,684,2.0,79
11,324022,,Amma,5,6.5,52,48,3,6,260,312.0,4.0,45
12,324022,,Amma,1,3,72,28,3,6,72,84,0.0,27
13,324022,,Amma,6,9,92,8,3,6,552,72,0.0,7
14,324022,,Amma,7.5,8,54,46,3,6,405.0,368,0.0,45
15,324022,,Amma,5,6,50,50,3,6,250,300,0.0,49
16,324022,,Amma,2,4,48,52,3,6,96,208,0.0,51
17,324022,,Amma,3,4,72,28,3,6,216,112,0.0,27
18,324022,,Amma,7,9.5,38,62,3,6,266,589.0,0.0,62
19,324022,,Amma,7,8,64,36,3,6,448,288,0.0,35
20,324022,,Amma,3,5,66,34,3,6,198,170,0.0,34
21,324022,,Amma,8,8.5,62,38,0,3,496,323.0,0.0,37
22,324022,,Amma,1,2,44,56,0,3,44,112,0.0,55
23,324022,,Amma,1,5,48,52,0,3,48,260,0.0,52
24,324022,,Amma,3.5,8,92,8,0,3,322.0,64,0.0,8
25,324022,,Amma,2,6,38,62,0,3,76,372,0.0,62
26,324022,,Amma,3,5,16,84,0,3,48,420,0.0,84
27,324022,,Amma,0.5,4,80,20,0,3,40.0,80,0.0,19
28,324022,,Amma,5,6.5,96,4,0,3,480,26.0,0.0,3
29,324022,,Amma,5.5,9,12,88,0,3,66.0,792,0.0,88
30,324022,,Amma,2,7,18,82,0,3,36,574,0.0,82
31,324022,,Amma,3,4,42,58,0,3,126,232,0.0,57
32,324022,,Amma,7,9.5,26,74,0,3,182,703.0,0.0,73
33,324022,,Amma,1,3,72,28,0,3,72,84,0.0,27
34,324022,,Amma,5,6,58,42,0,3,290,252,0.0,42
35,324022,,Amma,2,3,14,86,0,3,28,258,0.0,86
36,324022,,Amma,6,9,52,48,0,3,312,432,0.0,47
37,324022,,Amma,6,7,64,36,0,3,384,252,0.0,35
38,324022,,Amma,2,4,74,26,0,3,148,104,0.0,25
39,324022,,Amma,7,8,94,6,0,3,658,48,0.0,6
40,324022,,Amma,7.5,8,22,78,0,3,165.0,624,1.0,78
