village,taluk,tid,vid
Belekere,Channapatna,1,1
Byaranayakanhalli,Channapatna,1,2
Kallapura,Channapatna,1,3
Magadahalli,Channapatna,1,4
MakaliStateForest,Channapatna,1,5
Mogenahalli,Channapatna,1,6
Nayidolle,Channapatna,1,7
Thimmsandra,Channapatna,1,8
Banavasi,Kanakapura,2,9
Chikkasadenahalli,Kanakapura,2,10
Dimbadahalli,Kanakapura,2,11
Ganalu,Kanakapura,2,12
Hosakote,Kanakapura,2,13
Keeranigere,Kanakapura,2,14
Kempegodwana Doddi,Kanakapura,2,15
Tattiguppe,Kanakapura,2,16
Bachenahatti,Magadi,3,17
Biskuru,Magadi,3,18
Juttanahalli,Magadi,3,19
Kallur,Magadi,3,20
Rangenahalli,Magadi,3,21
Shiraganahalli ,Magadi,3,22
Udukunte,Magadi,3,23
Vishawanathapura,Magadi,3,24
Akkuru,Ramanagara,4,400
