question_text,qview,type,label,tab,options,nconditions,cond_1,cond_1_type,cond_1_values,cond_1_labels,cond_1_texts,cond_2,cond_2_type,cond_2_values,cond_2_labels,cond_2_texts
Is the house you live in owned by a member of your household?,single,choice,house_own,house,"Yes,xNo",0,,,,,,,,,,
How did your house obtain this dwelling?,single,choice,house_obtain,house,"Privatised,xPurchased from a private person,xNewly built,xCooperative arrangement,xSwapped,xInherited,xOther",0,,,,,,,,,,
How much did you pay for the unit?,single,slider,house_pay,house,"1000,x10000,x500",0,,,,,,,,,,
Do you have the legal title to the land or any document that shows ownership?,single,choice,house_title,house,"Yes,xNo",0,,,,,,,,,,
Could you sell this dwelling if you want to?,single,choice,house_sell,house,"Yes,xNo",0,,,,,,,,,,
"If you sold this dwelling, how much would you expect to receive for it?",single,slider,house_receive,house,"1000,x10000,x500",0,,,,,,,,,,
Can you estimate the amount you would receive if you rented this dwelling to another person?,single,slider,house_rent,house,"1000,x10000,x500",0,,,,,,,,,,
Which of the following has your household purchased in the last 12 months?,single,check,consumption_food,food,"Ragi,xRice",1,equal,table,"Ragi,xRice",table_consumption,,,,,,
How many months in the past 12 months did your household purchase this product?,table_consumption,dropdown,food_purchase_months,food,"0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12",0,,,,,,,,,,
How much do you usually spend on this product in one of the months that you purchase ragi?,table_consumption,slider,food_purchase_spend,food,"10,x5000,x10",0,,,,,,,,,,
How many months in the past 12 months did your household consume this product that you grew yourselves?,table_consumption,dropdown,food_grow_months,food,"0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12",0,,,,,,,,,,
How much did you consume in a typical month?,table_consumption,slider,food_grow_consume,food,"10,x5000,x10",0,,,,,,,,,,
What was the value of this product you consumed in a typical month from your own production?,table_consumption,slider,food_grow_value,food,"10,x5000,x10",0,,,,,,,,,,
What is the total value of this product you received as a gift over the past 12 months?,table_consumption,slider,food_gift,food,"10,x5000,x10",0,,,,,,,,,,
