elicit;c11;x12;c12;y12;p1;c21;x22;c22;y22;p2;t11;t12;t21;t22;block;qidx;type
amt;;na;na;na;1;na;30;na;na;1;0;0;1;1;intertemporal;1;time
amt;;na;na;na;1;na;30;na;na;1;0;0;3;3;intertemporal;2;time
amt;;na;na;na;1;na;30;na;na;1;0;0;6;6;intertemporal;3;time
amt;;na;na;na;1;na;30;na;na;1;0;0;9;9;intertemporal;4;time
amt;;na;na;na;1;na;30;na;na;1;0;0;12;12;intertemporal;5;time
amt;;na;na;na;1;na;30;na;na;1;3;3;6;6;intertemporal;6;time
amt;;na;na;na;1;na;30;na;na;1;6;6;9;9;intertemporal;7;time
amt;;na;na;na;1;na;30;na;na;1;9;9;12;12;intertemporal;8;time
amt;;na;na;na;1;na;30;na;na;1;11;11;12;12;intertemporal;9;time
amt;;na;na;na;1;na;20;na;na;1;0;0;6;6;intertemporal;10;time
amt;;10;na;na;1;10;30;na;na;1;0;6;0;6;intertemporal;11;time
amt;;20;na;na;1;0;30;na;na;1;0;6;0;6;intertemporal;12;time
amt;;20;na;na;1;10;30;na;na;1;0;6;0;6;intertemporal;13;time
amt;;20;na;na;1;20;30;na;na;1;0;6;0;6;intertemporal;14;time
amt;;na;na;na;1;na;30;na;0;0.1;0;0;0;0;weighting;15;risk
amt;;na;na;na;1;na;30;na;0;0.2;0;0;0;0;weighting;16;risk
amt;;na;na;na;1;na;30;na;0;0.5;0;0;0;0;weighting;17;risk
amt;;na;na;na;1;na;30;na;0;0.8;0;0;0;0;weighting;18;risk
amt;;na;na;na;1;na;30;na;0;0.9;0;0;0;0;weighting;19;risk
amt;;na;na;na;1;na;30;na;0;0.95;0;0;0;0;weighting;20;risk
amt;;na;na;na;1;na;10;na;0;0.5;0;0;0;0;risky;21;risk
amt;;na;na;na;1;na;20;na;0;0.5;0;0;0;0;risky;22;risk
amt;;na;na;na;1;na;30;na;0;0.5;0;0;0;0;risky;23;risk
amt;;na;na;na;1;na;30;na;10;0.5;0;0;0;0;risky;24;risk
amt;;na;na;na;1;na;25;na;5;0.5;0;0;0;0;risky;25;risk
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;1;1;MP;26;both
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;3;3;MP;27;both
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;6;6;MP;28;both
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;9;9;MP;29;both
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;12;12;MP;30;both
prob;30;na;0;na;0.78;na;30;na;na;1;3;3;6;6;MP;31;both
prob;30;na;0;na;0.78;na;30;na;na;1;6;6;9;9;MP;32;both
prob;30;na;0;na;0.78;na;30;na;na;1;9;9;12;12;MP;33;both
prob;30;na;0;na;0.78;na;30;na;na;1;11;11;12;12;MP;34;both
prob;20;na;0;na;0.78;na;20;na;na;1;0;0;6;6;MP;35;both
prob;20;na;0;na;0.78;na;20;na;na;1;0;0;12;12;MP;36;both
amt;;na;na;na;1;na;30;na;0;0.5;0;0;0;0;weighting;37;rep
amt;;na;na;na;1;na;30;na;na;1;0;0;6;6;intertemporal;38;rep
prob;30;na;0;na;0.78;na;30;na;na;1;0;0;6;6;MP;39;rep
prob;30;na;0;na;0.78;na;30;na;0;0.3;0;0;6;6;MP;40;both
prob;30;na;0;na;0.78;na;30;na;0;0.3;0;0;12;12;MP;41;both
prob;30;na;0;na;0.78;na;30;na;0;0.6;0;0;6;6;MP;42;both
prob;30;na;0;na;0.78;na;30;na;0;0.6;0;0;12;12;MP;43;both
