c11,c12,x12,y12,p1,c21,c22,x22,y22,p2,t1,t2,step,block,qidx,use
,na,na,na,1,na,na,500,na,1,0,1,1,discount,1,1
,na,na,na,1,na,na,500,na,1,0,3,1,discount,2,1
,na,na,na,1,na,na,500,na,1,0,6,1,discount,3,1
,na,na,na,1,na,na,500,na,1,0,9,1,discount,4,1
,na,na,na,1,na,na,500,na,1,0,12,1,discount,5,1
,na,na,na,1,na,na,500,na,1,6,12,1,discount,6,1
,na,na,na,1,na,na,500,na,1,9,12,1,discount,7,1
,na,na,na,1,na,na,200,na,1,0,6,1,intertemporal,8,1
,na,200,na,1,200,na,400,na,1,0,6,1,intertemporal,9,1
,na,300,na,1,300,na,500,na,1,0,6,1,intertemporal,10,1
,na,300,na,1,100,na,500,na,1,0,6,1,intertemporal,11,1
,na,200,na,1,0,na,400,na,1,0,6,1,intertemporal,12,1
,na,na,na,1,na,na,500,0,0.1,0,0,2,weighting,13,1
,na,na,na,1,na,na,500,0,0.2,0,0,2,weighting,14,1
,na,na,na,1,na,na,500,0,0.5,0,0,2,weighting,15,1
,na,na,na,1,na,na,500,0,0.8,0,0,2,weighting,16,1
,na,na,na,1,na,na,500,0,0.9,0,0,2,weighting,17,1
,na,na,na,1,na,na,500,0,0.33,0,1,3,risky_discount,18,1
,na,na,na,1,na,na,500,0,0.33,0,3,3,risky_discount,19,1
,na,na,na,1,na,na,500,0,0.33,0,6,3,risky_discount,20,1
,na,na,na,1,na,na,500,0,0.33,0,9,3,risky_discount,21,1
,na,na,na,1,na,na,500,0,0.33,0,12,3,risky_discount,22,1
,na,na,na,1,na,na,500,0,0.33,6,12,3,risky_discount,23,1
,na,na,na,1,na,na,500,0,0.33,9,12,3,risky_discount,24,1
,na,na,na,1,300,300,200,0,0.66,0,6,3,risky_intertemporal ,25,1
,na,na,na,1,na,na,200,0,0.66,0,6,3,risky_intertemporal,26,1
,na,na,na,1,na,na,400,200,0.66,0,6,3,risky_intertemporal,27,1
,na,na,na,1,na,na,500,100,0.66,0,6,3,risky_intertemporal,28,1
,na,na,na,1,na,na,500,200,0.66,0,6,3,risky_intertemporal,29,1
,na,na,na,1,na,na,500,0,0.66,0,1,3,risky_discount,30,1
,na,na,na,1,na,na,500,0,0.66,0,3,3,risky_discount,31,1
,na,na,na,1,na,na,500,0,0.66,0,6,3,risky_discount,32,1
,na,na,na,1,na,na,500,0,0.66,0,9,3,risky_discount,33,1
,na,na,na,1,na,na,500,0,0.66,0,12,3,risky_discount,34,1
,na,na,na,1,na,na,500,0,0.66,6,12,3,risky_discount,35,1
,na,na,na,1,na,na,500,0,0.66,9,12,3,risky_discount,36,1
,na,na,na,1,na,na,500,na,1,0,6,4,repetition,37,1
,na,na,na,1,na,na,500,0,0.5,0,0,4,repetition,38,1
,na,na,na,1,na,na,500,0,0.33,0,6,4,repetition,39,1
,na,na,na,1,na,na,200,0,0.33,0,6,3,risky_intertemporal (optional),40,1
,na,na,na,1,300,300,200,0,0.33,0,6,3,risky_intertemporal (optional),41,1
,na,na,na,1,na,na,400,200,0.33,0,6,3,risky_intertemporal (optional),42,1
,na,na,na,1,na,na,500,100,0.33,0,6,3,risky_intertemporal (optional),43,1
,na,na,na,1,na,na,500,200,0.33,0,6,3,risky_intertemporal (optional),44,1
