c11,c12,x12,y12,p1,c21,c22,x22,y22,p2,t1,t2,step,block,qidx
,na,na,na,1,na,na,500,na,1,0,1,1,discount,1
,na,na,na,1,na,na,500,na,1,0,3,1,discount,2
,na,na,na,1,na,na,500,na,1,0,6,1,discount,3
,na,na,na,1,na,na,500,na,1,0,9,1,discount,4
,na,na,na,1,na,na,500,na,1,0,12,1,discount,5
,na,na,na,1,na,na,500,na,1,6,12,1,discount,6
,na,na,na,1,na,na,500,na,1,9,12,1,discount,7
,na,na,na,1,na,na,200,na,1,0,6,1,intertemporal,8
,na,200,na,1,200,na,400,na,1,0,6,1,intertemporal,9
,na,300,na,1,300,na,500,na,1,0,6,1,intertemporal,10
,na,300,na,1,200,na,500,na,1,0,6,1,intertemporal,11
,na,300,na,1,100,na,500,na,1,0,6,1,intertemporal,12
,na,na,na,1,na,na,500,0,0.1,0,0,2,weighting,13
,na,na,na,1,na,na,500,0,0.2,0,0,2,weighting,14
,na,na,na,1,na,na,500,0,0.5,0,0,2,weighting,15
,na,na,na,1,na,na,500,0,0.8,0,0,2,weighting,16
,na,na,na,1,na,na,500,0,0.9,0,0,2,weighting,17
,na,na,na,1,na,na,200,0,0.5,0,0,2,risky,18
,na,na,na,1,na,na,300,0,0.5,0,0,2,risky,19
,na,na,na,1,na,na,400,100,0.5,0,0,2,risky,20
,na,na,na,1,na,na,500,100,0.5,0,0,2,risky,21
,na,na,na,1,na,na,500,200,0.5,0,0,2,risky,22
,na,na,na,1,na,na,500,0,0.33,0,1,3,risky_discount,23
,na,na,na,1,na,na,500,0,0.33,0,3,3,risky_discount,24
,na,na,na,1,na,na,500,0,0.33,0,6,3,risky_discount,25
,na,na,na,1,na,na,500,0,0.33,0,9,3,risky_discount,26
,na,na,na,1,na,na,500,0,0.33,0,12,3,risky_discount,27
,na,na,na,1,na,na,500,0,0.33,6,12,3,risky_discount,28
,na,na,na,1,na,na,500,0,0.33,9,12,3,risky_discount,29
,na,na,na,1,na,na,200,0,0.66,0,6,3,risky_intertemporal,30
,na,na,na,1,na,na,300,0,0.66,0,6,3,risky_intertemporal,31
,na,na,na,1,na,na,400,100,0.66,0,6,3,risky_intertemporal,32
,na,na,na,1,na,na,500,100,0.66,0,6,3,risky_intertemporal,33
,na,na,na,1,na,na,500,200,0.66,0,6,3,risky_intertemporal,34
,na,na,na,1,na,na,500,0,0.66,0,1,3,risky_discount,35
,na,na,na,1,na,na,500,0,0.66,0,3,3,risky_discount,36
,na,na,na,1,na,na,500,0,0.66,0,6,3,risky_discount,37
,na,na,na,1,na,na,500,0,0.66,0,9,3,risky_discount,38
,na,na,na,1,na,na,500,0,0.66,0,12,3,risky_discount,39
,na,na,na,1,na,na,500,0,0.66,6,12,3,risky_discount,40
,na,na,na,1,na,na,500,0,0.66,9,12,3,risky_discount,41
,na,na,na,1,na,na,500,na,1,0,6,4,repetition,42
,na,na,na,1,na,na,500,0,0.5,0,0,4,repetition,43
,na,na,na,1,na,na,500,0,0.66,0,6,4,repetition,44
,na,na,na,1,na,na,500,0,0.33,0,6,4,repetition,45
,na,na,na,1,na,na,200,0,0.33,0,6,3,risky_intertemporal (optional),46
,na,na,na,1,na,na,300,0,0.33,0,6,3,risky_intertemporal (optional),47
,na,na,na,1,na,na,400,100,0.33,0,6,3,risky_intertemporal (optional),48
,na,na,na,1,na,na,500,100,0.33,0,6,3,risky_intertemporal (optional),49
,na,na,na,1,na,na,500,200,0.33,0,6,3,risky_intertemporal (optional),50
