wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101033,101033x1,1,1,Ananth,1,5,prob,60,60,55,60,55
101033,101033x1,1,1,Ananth,2,2,amt,300,300,280,300,280
101033,101033x1,1,1,Ananth,1,4,amt,1100,1100,1000,1100,1000
101033,101033x1,1,1,Ananth,2,6,prob,40,40,35,40,35
101033,101033x1,1,1,Ananth,3,2,amt,1400,1400,1300,1400,1300
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101033,101033x3,1,1,Ananth,1,2,amt,240,240,220,240,220
101033,101033x3,1,1,Ananth,2,5,prob,85,65,60,65,60
101033,101033x3,1,1,Ananth,1,6,prob,100,60,55,60,55
101033,101033x3,1,1,Ananth,2,2,amt,1000,1000,55,1000,NA
101033,101033x3,1,1,Ananth,3,4,amt,1700,1700,1600,1700,1600
