qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1100,1000,1100,1000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1800,1900,1800,1900,1800
2,4,amt,1000,1000,1800,1000,NA
3,6,prob,35,55,50,55,50
4,5,prob,55,60,55,60,55
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,40,60,55,60,55
2,5,prob,40,40,35,40,35
3,3,amt,80,120,100,120,100
4,4,amt,280,320,300,320,300
