qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1400,1300,1400,1300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,70,75,70,75,70
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1300,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1100,1000,1100,1000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,15,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1900,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,25,30,25,30,25
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1000,1300,1200,1300,1200
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,25,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,85,90,85,90,85
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1800,1900,1800,1900,1800
2,2,amt,1300,1600,1500,1600,1500
3,5,prob,80,85,80,85,80
4,6,prob,80,85,80,85,80
5,2,amt,1900,2000,1900,2000,1900
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,1,amt,800,900,800,900,800
2,2,amt,1600,1500,1400,1500,1400
3,3,amt,1000,800,700,800,700
4,4,amt,1400,1300,1200,1300,1200
5,8,prob,25,25,20,25,20
6,10,prob,90,95,90,95,90
7,7,prob,5,5,0,5,0
8,9,prob,80,85,80,85,80
9,6,prob,65,50,45,50,45
10,5,prob,50,60,55,60,55
