wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101437,101437x1,1,1,Rajesh,1,2,amt,460,480,460,480,460
101437,101437x1,1,1,Rajesh,2,1,amt,100,100,80,100,80
101437,101437x1,1,1,Rajesh,3,10,prob,40,40,35,40,35
101437,101437x1,1,1,Rajesh,4,8,prob,65,65,60,65,60
101437,101437x1,1,1,Rajesh,5,6,prob,100,85,80,85,80
101437,101437x1,1,1,Rajesh,6,5,prob,10,35,30,35,30
101437,101437x1,1,1,Rajesh,7,7,prob,0,0,30,0,NA
101437,101437x1,1,1,Rajesh,8,9,prob,70,75,70,75,70
101437,101437x1,1,1,Rajesh,9,4,amt,320,340,320,340,320
101437,101437x1,1,1,Rajesh,10,3,amt,200,60,40,60,40
101437,101437x1,1,1,Rajesh,1,1,amt,900,1000,900,1000,900
101437,101437x1,1,1,Rajesh,2,2,amt,1900,1900,1800,1900,1800
101437,101437x1,1,1,Rajesh,3,4,amt,2000,1600,1500,1600,1500
101437,101437x1,1,1,Rajesh,4,3,amt,800,900,800,900,800
101437,101437x1,1,1,Rajesh,5,5,prob,45,50,45,50,45
101437,101437x1,1,1,Rajesh,6,7,prob,70,75,70,75,70
101437,101437x1,1,1,Rajesh,7,10,prob,35,45,40,45,40
101437,101437x1,1,1,Rajesh,8,9,prob,0,0,40,0,NA
101437,101437x1,1,1,Rajesh,9,6,prob,65,85,80,85,80
101437,101437x1,1,1,Rajesh,10,8,prob,5,5,0,5,0
