"elicit","c11","x12","c12","y12","p1","c21","x22","c22","y22","p2","t11","t12","t21","t22","block","qidx"
"amt",777,"NA","NA","NA",1,"NA",1000,"NA","NA",1,0,0,3,3,"time",1
"amt",777,"NA","NA","NA",1,"1000",2000,"NA","NA",1,0,0,0,3,"time",2
"amt",777,NA,NA,NA,1,NA,1000,NA,"0",0.5,0,0,0,0,"risk",3
"amt",777,NA,NA,NA,1,NA,2000,NA,"1000",0.5,0,0,0,0,"risk",4
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,0,0,3,3,"mp",5
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,0,0,6,6,"mp",6
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,3,3,6,6,"mp",7
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,0,0,2,2,"mp",8
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,2,2,4,4,"mp",9
"prob",2000,NA,"0",NA,0.78,NA,2000,NA,NA,1,4,4,6,6,"mp",10
